min_time, max_time, size, raw
1393835359,1393839622,3,"{'990e34761ce7226f': ['unplugged', '1393835361'], 'fc8fa4c0b917a70': ['unplugged', '1393835392'], '474e21ce058b4d09': ['unplugged', '1393835386']}"
1398856729,1398856866,4,"{'8eeeb4d35e39e4': ['unplugged', '1398856798'], '162827fb7066dee3': ['unplugged', '1398856768'], '474e21ce058b4d09': ['plugged', '1398856843'], '289329338e165377': ['unplugged', '1398856802']}"
1403176214,1403177072,3,"{'8eeeb4d35e39e4': ['wd', '1403176292'], '162827fb7066dee3': ['wd', '1403176330'], '474e21ce058b4d09': ['wd', '1403176216']}"
1403278818,1403280006,4,"{'162827fb7066dee3': ['unplugged', '1403278822'], 'c65e30d1647924c8': ['unplugged', '1403278883'], '6cad15226bf1c195': ['unplugged', '1403278861'], '474e21ce058b4d09': ['unplugged', '1403278858']}"
1403280006,1403280939,3,"{'162827fb7066dee3': ['unplugged', '1403280007'], 'c65e30d1647924c8': ['plugged', '1403280070'], '474e21ce058b4d09': ['unplugged', '1403280044']}"
1403355049,1403416992,3,"{'1feb47287c9f9463': ['unplugged', '1403355060'], '162827fb7066dee3': ['unplugged', '1403355051'], '474e21ce058b4d09': ['unplugged', '1403355097']}"
1403539160,1403539285,3,"{'162827fb7066dee3': ['wd', '1403539167'], 'c65e30d1647924c8': ['wd', '1403539258'], '474e21ce058b4d09': ['wd', '1403539259']}"
1403598595,1403599797,4,"{'1feb47287c9f9463': ['unplugged', '1403598623'], 'c65e30d1647924c8': ['plugged', '1403598691'], '6cad15226bf1c195': ['unplugged', '1403598647'], '474e21ce058b4d09': ['unplugged', '1403598641']}"
1403683478,1403684867,3,"{'1feb47287c9f9463': ['unplugged', '1403683495'], '162827fb7066dee3': ['unplugged', '1403683480'], 'c65e30d1647924c8': ['unplugged', '1403683553']}"
1403790369,1403798485,4,"{'1feb47287c9f9463': ['plugged', '1403790410'], '162827fb7066dee3': ['unplugged', '1403790371'], 'c65e30d1647924c8': ['plugged', '1403790466'], '474e21ce058b4d09': ['unplugged', '1403790417']}"
1404138881,1404143420,4,"{'1feb47287c9f9463': ['unplugged', '1404138886'], '162827fb7066dee3': ['unplugged', '1404138882'], 'c65e30d1647924c8': ['unplugged', '1404138951'], '474e21ce058b4d09': ['unplugged', '1404138908']}"
1404143420,1404143562,4,"{'1feb47287c9f9463': ['unplugged', '1404143441'], '162827fb7066dee3': ['unplugged', '1404143422'], 'c65e30d1647924c8': ['unplugged', '1404143490'], '474e21ce058b4d09': ['unplugged', '1404143463']}"
