min_time, max_time, size, raw
1393835359,1393839622,3,"{'990e34761ce7226f': ['unplugged', '1393835361'], 'fc8fa4c0b917a70': ['unplugged', '1393835392'], '474e21ce058b4d09': ['unplugged', '1393835386']}"
1398856729,1398856866,3,"{'8eeeb4d35e39e4': ['unplugged', '1398856798'], '162827fb7066dee3': ['unplugged', '1398856768'], '289329338e165377': ['unplugged', '1398856802']}"
1403278818,1403280006,4,"{'162827fb7066dee3': ['unplugged', '1403278822'], 'c65e30d1647924c8': ['unplugged', '1403278883'], '6cad15226bf1c195': ['unplugged', '1403278861'], '474e21ce058b4d09': ['unplugged', '1403278858']}"
1403355051,1403422847,3,"{'1feb47287c9f9463': ['unplugged', '1403355060'], '162827fb7066dee3': ['unplugged', '1403355126'], '474e21ce058b4d09': ['unplugged', '1403355097']}"
1403598595,1403599797,3,"{'1feb47287c9f9463': ['unplugged', '1403598623'], '6cad15226bf1c195': ['unplugged', '1403598647'], '474e21ce058b4d09': ['unplugged', '1403598641']}"
1404138882,1404143422,3,"{'1feb47287c9f9463': ['unplugged', '1404138886'], 'c65e30d1647924c8': ['unplugged', '1404138951'], '474e21ce058b4d09': ['unplugged', '1404138908']}"
1404143422,1404143564,4,"{'1feb47287c9f9463': ['unplugged', '1404143441'], '162827fb7066dee3': ['unplugged', '1404143510'], 'c65e30d1647924c8': ['unplugged', '1404143490'], '474e21ce058b4d09': ['unplugged', '1404143463']}"
1404143564,1404143685,3,"{'1feb47287c9f9463': ['unplugged', '1404143621'], '162827fb7066dee3': ['unplugged', '1404143615'], 'c65e30d1647924c8': ['unplugged', '1404143669']}"
1404305099,1404315764,4,"{'1feb47287c9f9463': ['unplugged', '1404305103'], 'c65e30d1647924c8': ['unplugged', '1404305147'], '6cad15226bf1c195': ['unplugged', '1404305134'], '474e21ce058b4d09': ['unplugged', '1404305122']}"
1404315764,1404315894,3,"{'1feb47287c9f9463': ['unplugged', '1404315777'], '162827fb7066dee3': ['unplugged', '1404315768'], '474e21ce058b4d09': ['unplugged', '1404315796']}"
1405322243,1405324499,4,"{'46e8e6f137e7c3b1': ['unplugged', '1405322244'], '1feb47287c9f9463': ['unplugged', '1405322330'], '162827fb7066dee3': ['unplugged', '1405322255'], '474e21ce058b4d09': ['unplugged', '1405322272']}"
